decade,year,result,director,movie,director url
Década de 1990,1997,Ganador,Anthony Minghella,El paciente inglés,https://www.imdb.com/es-es/name/nm0005237/
Década de 1990,1997,Nominee,Joel Coen,Fargo,https://www.imdb.com/es-es/name/nm0001054/
Década de 1990,1997,Nominee,Milos Forman,El escándalo de Larry Flynt,https://www.imdb.com/es-es/name/nm0001232/
Década de 1990,1997,Nominee,Scott Hicks,Shine,https://www.imdb.com/es-es/name/nm0382956/
Década de 1990,1997,Nominee,Mike Leigh,Secretos y mentiras,https://www.imdb.com/es-es/name/nm0005139/
Década de 1990,1996,Ganador,Mel Gibson,Braveheart,https://www.imdb.com/es-es/name/nm0000154/
Década de 1990,1996,Nominee,Chris Noonan,"Babe, el cerdito valiente",https://www.imdb.com/es-es/name/nm0003088/
Década de 1990,1996,Nominee,Tim Robbins,Pena de muerte,https://www.imdb.com/es-es/name/nm0000209/
Década de 1990,1996,Nominee,Mike Figgis,Leaving Las Vegas,https://www.imdb.com/es-es/name/nm0001214/
Década de 1990,1996,Nominee,Michael Radford,El cartero (y Pablo Neruda),https://www.imdb.com/es-es/name/nm0705535/
Década de 1990,1995,Ganador,Robert Zemeckis,Forrest Gump,https://www.imdb.com/es-es/name/nm0000709/
Década de 1990,1995,Nominee,Woody Allen,Balas sobre Broadway,https://www.imdb.com/es-es/name/nm0000095/
Década de 1990,1995,Nominee,Krzysztof Kieslowski,Tres colores: Rojo,https://www.imdb.com/es-es/name/nm0001425/
Década de 1990,1995,Nominee,Robert Redford,Quiz Show (El dilema),https://www.imdb.com/es-es/name/nm0000602/
Década de 1990,1995,Nominee,Quentin Tarantino,Pulp Fiction,https://www.imdb.com/es-es/name/nm0000233/
Década de 1990,1994,Ganador,Steven Spielberg,La lista de Schindler,https://www.imdb.com/es-es/name/nm0000229/
Década de 1990,1994,Nominee,Robert Altman,Short Cuts - Vidas cruzadas,https://www.imdb.com/es-es/name/nm0000265/
Década de 1990,1994,Nominee,Jane Campion,El piano,https://www.imdb.com/es-es/name/nm0001005/
Década de 1990,1994,Nominee,James Ivory,Lo que queda del día,https://www.imdb.com/es-es/name/nm0412465/
Década de 1990,1994,Nominee,Jim Sheridan,En el nombre del padre,https://www.imdb.com/es-es/name/nm0006487/
Década de 1990,1993,Ganador,Clint Eastwood,Sin perdón,https://www.imdb.com/es-es/name/nm0000142/
Década de 1990,1993,Nominee,Robert Altman,El juego de Hollywood (The Player),https://www.imdb.com/es-es/name/nm0000265/
Década de 1990,1993,Nominee,Martin Brest,Esencia de mujer,https://www.imdb.com/es-es/name/nm0000976/
Década de 1990,1993,Nominee,James Ivory,Regreso a Howards End,https://www.imdb.com/es-es/name/nm0412465/
Década de 1990,1993,Nominee,Neil Jordan,Juego de lágrimas,https://www.imdb.com/es-es/name/nm0001403/
Década de 1990,1992,Ganador,Jonathan Demme,El silencio de los corderos,https://www.imdb.com/es-es/name/nm0001129/
Década de 1990,1992,Nominee,Barry Levinson,Bugsy,https://www.imdb.com/es-es/name/nm0001469/
Década de 1990,1992,Nominee,Ridley Scott,Thelma & Louise,https://www.imdb.com/es-es/name/nm0000631/
Década de 1990,1992,Nominee,John Singleton,Los chicos del barrio,https://www.imdb.com/es-es/name/nm0005436/
Década de 1990,1992,Nominee,Oliver Stone,JFK: Caso abierto,https://www.imdb.com/es-es/name/nm0000231/
Década de 1990,1991,Ganador,Kevin Costner,Bailando con lobos,https://www.imdb.com/es-es/name/nm0000126/
Década de 1990,1991,Nominee,Francis Ford Coppola,El padrino parte III,https://www.imdb.com/es-es/name/nm0000338/
Década de 1990,1991,Nominee,Stephen Frears,Los timadores,https://www.imdb.com/es-es/name/nm0001241/
Década de 1990,1991,Nominee,Barbet Schroeder,El misterio Von Bulow,https://www.imdb.com/es-es/name/nm0775447/
Década de 1990,1991,Nominee,Martin Scorsese,Uno de los nuestros,https://www.imdb.com/es-es/name/nm0000217/
