decade,year,result,director,movie,director url
Década de 1980,1988,Nominee,Adrian Lyne,Atracción fatal,https://www.imdb.com/es-es/name/nm0001490/
Década de 1980,1987,Ganador,Oliver Stone,Platoon,https://www.imdb.com/es-es/name/nm0000231/
Década de 1980,1987,Nominee,Woody Allen,Hannah y sus hermanas,https://www.imdb.com/es-es/name/nm0000095/
Década de 1980,1987,Nominee,James Ivory,Una habitación con vistas,https://www.imdb.com/es-es/name/nm0412465/
Década de 1980,1987,Nominee,Roland Joffé,La misión,https://www.imdb.com/es-es/name/nm0423646/
Década de 1980,1987,Nominee,Rob Reiner,Cuenta conmigo,https://www.imdb.com/es-es/name/nm0001661/
Década de 1980,1986,Ganador,John Huston,El honor de los Prizzi,https://www.imdb.com/es-es/name/nm0001379/
Década de 1980,1986,Nominee,Richard Attenborough,A Chorus Line,https://www.imdb.com/es-es/name/nm0000277/
Década de 1980,1986,Nominee,Sydney Pollack,Memorias de África,https://www.imdb.com/es-es/name/nm0001628/
Década de 1980,1986,Nominee,Steven Spielberg,El color púrpura,https://www.imdb.com/es-es/name/nm0000229/
Década de 1980,1986,Nominee,Peter Weir,Único testigo,https://www.imdb.com/es-es/name/nm0001837/
Década de 1980,1985,Ganador,Milos Forman,Amadeus,https://www.imdb.com/es-es/name/nm0001232/
Década de 1980,1985,Nominee,Francis Ford Coppola,Cotton Club,https://www.imdb.com/es-es/name/nm0000338/
Década de 1980,1985,Nominee,Roland Joffé,Los gritos del silencio,https://www.imdb.com/es-es/name/nm0423646/
Década de 1980,1985,Nominee,David Lean,Pasaje a la India,https://www.imdb.com/es-es/name/nm0000180/
Década de 1980,1985,Nominee,Sergio Leone,Érase una vez en América,https://www.imdb.com/es-es/name/nm0001466/
Década de 1980,1984,Ganador,Barbra Streisand,Yentl,https://www.imdb.com/es-es/name/nm0000659/
Década de 1980,1984,Nominee,Bruce Beresford,Gracias y favores,https://www.imdb.com/es-es/name/nm0000915/
Década de 1980,1984,Nominee,Ingmar Bergman,Fanny y Alexander,https://www.imdb.com/es-es/name/nm0000005/
Década de 1980,1984,Nominee,James L. Brooks,La fuerza del cariño,https://www.imdb.com/es-es/name/nm0000985/
Década de 1980,1984,Nominee,Mike Nichols,Silkwood,https://www.imdb.com/es-es/name/nm0001566/
Década de 1980,1984,Nominee,Peter Yates,La sombra del actor,https://www.imdb.com/es-es/name/nm0946811/
Década de 1980,1983,Ganador,Richard Attenborough,Gandhi,https://www.imdb.com/es-es/name/nm0000277/
Década de 1980,1983,Nominee,Costa-Gavras,Desaparecido,https://www.imdb.com/es-es/name/nm0002020/
Década de 1980,1983,Nominee,Sidney Lumet,Veredicto final,https://www.imdb.com/es-es/name/nm0001486/
Década de 1980,1983,Nominee,Sydney Pollack,Tootsie,https://www.imdb.com/es-es/name/nm0001628/
Década de 1980,1983,Nominee,Steven Spielberg,E.T. El extraterrestre,https://www.imdb.com/es-es/name/nm0000229/
Década de 1980,1982,Ganador,Warren Beatty,Rojos,https://www.imdb.com/es-es/name/nm0000886/
Década de 1980,1982,Nominee,Milos Forman,Ragtime,https://www.imdb.com/es-es/name/nm0001232/
